Indicator,Last Observed,Indicator Type,Observation Yearly Count,ThreatConnect Rating,Observation Penalty Multiplier,Botnet Flag,False Positives,Partners,incidents/events,Threat Actor,Tagging Boost,Tagging Boost Reason,CAL Score,ThreatConnect Score,PRISM Score,Severity,Explanation
69.5.169.237,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,500,629,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.239,2026-06-03,Address,7,3,0.9996164383561644,0,0,"CMS, HRSA, IHS, NIH, OS, VA",,,0.0,,610,684,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 6 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.24,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,590,674,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.240,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,480,619,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.247,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,470,614,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.249,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,400,579,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.25,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,480,619,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.251,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,460,609,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.3,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,410,584,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
69.5.169.32,2026-06-03,Address,6,3,0.9996712328767123,0,0,"HRSA, IHS, NIH, OS, VA",,,0.0,,490,624,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
